phase_id,frame_name,frame_number,score_1,score_2,score_3,score_4,score_5,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,shoulder_angle,hip_angle,left_arm_length,right_arm_length,left_leg_length,right_leg_length,torso_length
P1_V10_Phase10,frame7022.jpg,7022,2.0,1.0,2.0,2.0,2.0,155.8889946354367,9.50251640333438,121.31842949794382,144.32181621949738,139.16931323113752,117.5987818128788,2.4503145328623765,3.11042770412006,9.733510949794752,7.709672269275979,5.152034074398944
P1_V10_Phase10,frame7023.jpg,7023,2.0,1.0,2.0,2.0,2.0,116.60062030887248,121.46584856326702,147.2774410028523,163.48684768240258,113.16089366204504,68.34652460914566,10.802415615882923,8.875228095539121,15.136724453136932,13.100906777820592,10.056186092478445
P1_V10_Phase10,frame7024.jpg,7024,2.0,1.0,2.0,2.0,2.0,82.95407985587647,75.72849908192545,123.60906121788888,136.7334479453983,115.0318376950122,96.97319035441608,2.223992995351732,1.7857935330874786,5.116186764664432,4.6601509962717325,3.2350879166342064
P1_V10_Phase10,frame7025.jpg,7025,2.0,1.0,2.0,2.0,2.0,82.95407985587647,75.72849908192545,123.60906121788888,136.7334479453983,115.0318376950122,96.97319035441608,2.223992995351732,1.7857935330874786,5.116186764664432,4.6601509962717325,3.2350879166342064
P1_V10_Phase14,frame9710.jpg,9710,4.0,3.0,4.0,3.0,3.0,148.07429423237213,169.29406022646373,157.2419207910569,176.2753841011549,103.91687593645484,105.9823169360032,5.843782844391896,3.552135053242326,7.46569708311662,7.25464229780839,5.706883130157299
P1_V10_Phase14,frame9711.jpg,9711,4.0,3.0,4.0,3.0,3.0,123.09285413300636,130.44526549413277,159.03093624725076,175.67267496087595,68.8803728221926,72.29474113526034,4.389747167612415,5.133271253545908,7.453379086682098,7.9206343630608735,6.172635993903369
P1_V10_Phase14,frame9712.jpg,9712,4.0,3.0,4.0,3.0,3.0,159.0386387349379,135.89016598579056,156.0686008229096,178.5017993070467,82.39622938904762,61.61593926755925,11.0686426904614,11.510661900479665,15.448916596992603,15.6369179287577,13.282091113008548
P1_V10_Phase14,frame9713.jpg,9713,4.0,3.0,4.0,3.0,3.0,159.0386387349379,135.89016598579056,156.0686008229096,178.5017993070467,82.39622938904762,61.61593926755925,11.0686426904614,11.510661900479665,15.448916596992603,15.6369179287577,13.282091113008548
P1_V11_Phase1,frame80.jpg,80,5.0,5.0,5.0,4.0,4.0,93.2294773299248,168.07312923531316,126.3759448978078,124.43559914510318,100.0769614511483,150.13668406218014,2.6959075739004743,1.685401295129405,4.56823089791404,4.319553906895758,1.99072501862927
P1_V11_Phase1,frame81.jpg,81,5.0,5.0,5.0,4.0,4.0,72.31041115277415,37.030883501180334,126.7496946687966,139.6849702409877,97.2316418941399,144.19709795294165,3.4096619662664462,1.2539451120290832,3.938913192590893,3.120142735690801,1.9190381760619903
P1_V11_Phase1,frame82.jpg,82,5.0,5.0,5.0,4.0,4.0,83.7488805800644,159.0697633146655,148.39113025800444,154.76160970353558,92.88921685815184,114.86408547558511,3.306778654002562,1.9332513922032912,3.873729489483423,3.797829429891169,1.8924753461805104
P1_V11_Phase1,frame83.jpg,83,5.0,5.0,5.0,4.0,4.0,83.7488805800644,159.0697633146655,148.39113025800444,154.76160970353558,92.88921685815184,114.86408547558511,3.306778654002562,1.9332513922032912,3.873729489483423,3.797829429891169,1.8924753461805104
P1_V11_Phase10,frame11911.jpg,11911,2.0,1.0,2.0,2.0,1.0,153.35230754380362,99.4181320525252,143.16782991406038,148.70316225927468,81.69839025768201,48.29977928758166,2.148868884227725,2.412949654781837,4.322270982481463,4.928838854578771,2.8660454566290405
P1_V11_Phase10,frame11912.jpg,11912,2.0,1.0,2.0,2.0,1.0,157.60395551693554,128.93722484615674,156.10799974045884,159.498357351783,86.14492660667973,49.48800162041474,2.926283464102819,2.853927279282561,4.890107297433872,5.482269548620518,3.526363258915271
P1_V11_Phase10,frame11913.jpg,11913,2.0,1.0,2.0,2.0,1.0,84.42271487228929,129.2710670379679,169.8350905335778,167.47016530669003,79.37582116430625,63.142730306553865,2.4970331307304785,2.9587838973281704,5.8332226971371375,6.4404509273361885,4.040680584799469
